Abortiporus biennis;dvoletni polluknjičar;https://www.gobe.si/Gobe/AbortiporusBiennis
Agaricus altipes;dolgobetni kukmak;https://www.gobe.si/Gobe/AgaricusAltipes
Agaricus arvensis;poljski kukmak;https://www.gobe.si/Gobe/AgaricusArvensis
Agaricus augustus;veličastni kukmak;https://www.gobe.si/Gobe/AgaricusAugustus
Agaricus bisporus;dvotrosni kukmak;https://www.gobe.si/Gobe/AgaricusBisporus
Agaricus bitorquis;mestni kukmak;https://www.gobe.si/Gobe/AgaricusBitorquis
Agaricus bohusii;šopasti kukmak;https://www.gobe.si/Gobe/AgaricusBohusii
Agaricus bresadolanus;Bresadolov kukmak;https://www.gobe.si/Gobe/AgaricusBresadolanus
Agaricus campestris;travniški kukmak;https://www.gobe.si/Gobe/AgaricusCampestris
Agaricus cappellianus;resasti kukmak;https://www.gobe.si/Gobe/AgaricusCappellianus
Agaricus chionodermus;belokožni kukmak;https://www.gobe.si/Gobe/AgaricusChionodermus
Agaricus comtulus;tratni kukmak;https://www.gobe.si/Gobe/AgaricusComtulus
Agaricus impudicus;smrdeči kukmak;https://www.gobe.si/Gobe/AgaricusImpudicus
Agaricus langei;Langejev kukmak;https://www.gobe.si/Gobe/AgaricusLangei
Agaricus litoralis;obalni kukmak;https://www.gobe.si/Gobe/AgaricusLitoralis
Agaricus macrocarpus;čokati kukmak;https://www.gobe.si/Gobe/AgaricusMacrocarpus
Agaricus macrosporoides;košenični kukmak;https://www.gobe.si/Gobe/AgaricusMacrosporoides
Agaricus moelleri;Möllerjev kukmak;https://www.gobe.si/Gobe/AgaricusMoelleri
Agaricus phaeolepidotus;rjavoluski kukmak;https://www.gobe.si/Gobe/AgaricusPhaeolepidotus
Agaricus semotus;pritlikavi kukmak;https://www.gobe.si/Gobe/AgaricusSemotus
Agaricus subperonatus;opasani kukmak;https://www.gobe.si/Gobe/AgaricusSubperonatus
Agaricus sylvaticus;gozdni kukmak;https://www.gobe.si/Gobe/AgaricusSylvaticus
Agaricus sylvicola;hostni kukmak;https://www.gobe.si/Gobe/AgaricusSylvicola
