 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
   589. Gýrodon lívidus (Bull.) Sacc. (1888)                               navadni jelšar                       U, RS

113.   GYRÓMITRA                                                       HRČKI
   590. Gyrómitra esculénta (Pers.) Fr. (1849)                             pomladanski hrček                   SS, RS
   591. Gyrómitra ínfula (Schaeff.) Quél. (1886)                           rogljati hrček                          PU

114.   GYRÓPORUS                                                       BLEDOTROSNIKI
   592. Gyróporus castáneus (Bull.) Quél. (1886)                           rjavi bledotrosnik                   U, RS
   593. Gyróporus cyanéscens (Bull.) Quél. (1886)                          modreči bledotrosnik                 U, RS

115.   HAPALOPÍLUS                                                     MEHKOPORI
   594. Hapalopílus rútilans (Pers.) P. Karst. (1881)                      cimetasti mehkopor                     NU
   595. Hapalopílus salmonícolor (Berk. & M.A. Curtis) Pouzar (1967)       lososov mehkopor                       NU

116.   HEBELÓMA                                                        MEDLENKE
   596. Hebelóma anthracóphilum Maire (1910)                               pogoriščna medlenka                    NU
   597. Hebelóma bírrus (Fr.) Sacc. (1887)                                 rožnata medlenka                       NU
   598. Hebelóma círcinans (Quél.) Sacc. (1891)                            kolobarna medlenka                     NU



Mikološka zveza Slovenije                  OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                   22
   599. Hebelóma crustulinifórme (Bull.) Quél. (1872)              solzeča medlenka                    NU
   600. Hebelóma fastíbile (Pers.) P. Kumm. (1871)                 kopučasta medlenka                  NU
   601. Hebelóma hiemále Bres. (1892)                              zimska medlenka               NU, 3006
   602. Hebelóma laterínum (Batsch) Vesterh. (2005)                kakavova medlenka        NU, 1057, 3008
   603. Hebelóma léucosarx P.D. Orton (1960)                       vrbina medlenka                     NU
   604. Hebelóma longicáudum (Pers.) P. Kumm. (1871)               dolgobetna medlenka                 NU
   605. Hebelóma mesopháeum (Pers.) Quél. (1872)                   dvobarvna medlenka                  NU
   606. Hebelóma ochroálbidum Bohus (1972)                         bledikasta medlenka           NU, 2766
   607. Hebelóma pállidoluctuósum Gröger & Zschiesch. (1984)       pusta medlenka                      NU
   608. Hebelóma pusíllum J.E. Lange (1940)                        pritlikava medlenka                 NU
   609. Hebelóma radicósum (Bull.) Ricken (1911)                   korenasta medlenka                  NU
   610. Hebelóma saccharíolens Quél. (1880)                        sladkobna medlenka                  NU
   611. Hebelóma sinapízans (Paulet) Gillet (1876)                 redkvičasta medlenka                  S
   612. Hebelóma spoliátum (Fr.) Gillet (1876)                     bodalasta medlenka                  NU
   613. Hebelóma vaccínum Romagn. (1965)                           toporoba medlenka                   NU
   614. Hebelóma versipélle (Fr.) Gillet (1876)                    luskobetna medlenka                 NU

117.   HELVÉLLA                                                LOPUTARJI
   615. Helvélla átra J. König (1770)                              črni loputar                         NU
   616. Helvélla críspa (Scop.) Fr. (1822)                         jesenski loputar                      U
   617. Helvélla elástica Lév. (1841)                              prožni loputar                        U
   618. Helvélla ephíppium Lév. (1841)                             sedlasti loputar                     NU
   619. Helvélla lacunósa Afzel. (1783)                            jamičasti loputar                     U
   620. Helvélla mácropus (Pers.) P. Karst. (1871)                 visoki loputar                       NU

118.   HEMIMYCÉNA                                              POLČELADICE
   621. Hemimycéna cuculláta (Pers.) Singer (1961)                 bela polčeladica                     NU
   622. Hemimycéna láctea (Pers.) Singer (1938)                    smetanasta polčeladica               NU

119.   HERÍCIUM                                                BRADOVCI
   623. Herícium alpéstre Pers. (1825)                             jelkov bradovec          MU, Z, RS, 1102
   624. Herícium cirrhátum (Pers.) Nikol. (1950)                   rumeneči bradovec                 U, 799
   625. Herícium erináceus (Bull.) Pers. (1797)                    resasti bradovec              MU, Z, RS

120.   HETEROBASÍDION                                          TROHNOBNEžI
   626. Heterobasídion annósum (Fr.) Bref. (1888)                  jelov trohnobnež                     NU

121.   HOHENBUEHÉLIA                                           OSTRIGOVCI
   627. Hohenbuehélia petaloídes (Bull.) Schulzer (1866)           razprti ostrigovec         U, 1112, 1107
   628. Hohenbuehélia rickénii (Kühner) P.D. Orton (1954)          smrekov ostrigovec               U, 1114

122.   HUMÁRIA                                                 KOSMATINKE
   629. Humária hemispháerica (F.H. Wigg.) Fuckel (1870)           polobla kosmatinka                   NU

123.   HYDNÉLLUM                                               JEžEVKE
   630. Hydnéllum aurantíacum (Batsch) P. Karst. (1879)            oranžna ježevka                  NU, RS
   631. Hydnéllum caerúleum (Hornem.) P. Karst. (1879)             višnjeva ježevka                 NU, RS
   632. Hydnéllum compáctum (Pers.) P. Karst. (1879)               klena ježevka                    NU, RS
   633. Hydnéllum concréscens (Pers.) Banker (1906)                zraščena ježevka                     NU
